Name,Model,Preprocessing,Error,Year,Cite
linear classifier (1-layer NN),linear,none,12,1998,LeCun et al. 1998
linear classifier (1-layer NN),linear,deskewing,8.4,1994,Bottou et al 1994
pairwise linear classifier,linear,deskewing,7.6,1998,LeCun et al. 1998
"K-nearest-neighbors, Euclidean (L2)",knn,none,5,1998,LeCun et al. 1998
"K-nearest-neighbors, Euclidean (L2)",knn,none,3.09,2002,"Kenneth Wilder, U. Chicago"
"K-nearest-neighbors, L3",knn,none,2.83,2002,"Kenneth Wilder, U. Chicago"
"K-nearest-neighbors, Euclidean (L2)",knn,deskewing,2.4,1994,Bottou et al 1994
"K-nearest-neighbors, Euclidean (L2)",knn,"deskewing, noise removal, blurring",1.8,2002,"Kenneth Wilder, U. Chicago"
"K-nearest-neighbors, L3",knn,"deskewing, noise removal, blurring",1.73,2002,"Kenneth Wilder, U. Chicago"
"K-nearest-neighbors, L3",knn,"deskewing, noise removal, blurring, 1 pixel shift",1.33,2002,"Kenneth Wilder, U. Chicago"
"K-nearest-neighbors, L3",knn,"deskewing, noise removal, blurring, 2 pixel shift",1.22,2002,"Kenneth Wilder, U. Chicago"
K-NN with non-linear deformation (IDM),knn,shiftable edges,0.54,2007,Keysers et al. IEEE PAMI 2007
K-NN with non-linear deformation (P2DHMDM),knn,shiftable edges,0.52,2007,Keysers et al. IEEE PAMI 2007
"K-NN, Tangent Distance",knn,subsampling to 16x16 pixels,1.1,1994,Bottou et al 1994
"K-NN, shape context matching",knn,shape context feature extraction,0.63,2002,Belongie et al. IEEE PAMI 2002
boosted stumps,boosted stumps,none,7.7,2009,"Kegl et al., ICML 2009"
products of boosted stumps (3 terms),boosted stumps,none,1.26,2009,"Kegl et al., ICML 2009"
boosted trees (17 leaves),boosted stumps,none,1.53,2009,"Kegl et al., ICML 2009"
stumps on Haar features,boosted stumps,Haar features,1.02,2009,"Kegl et al., ICML 2009"
product of stumps on Haar f.,boosted stumps,Haar features,0.87,2009,"Kegl et al., ICML 2009"
40 PCA + quadratic classifier,nonlinear,none,3.3,1998,LeCun et al. 1998
1000 RBF + linear classifier,nonlinear,none,3.6,1998,LeCun et al. 1998
"Virtual SVM, deg-5 poly, 1-pixel translations",svm,todo,1,1996,Schlokopf et al 1996
"SVM, Gaussian Kernel",svm,none,1.4,,
SVM deg 4 polynomial,svm,deskewing,1.1,1994,Bottou et al 1994
Reduced Set SVM deg 5 polynomial,svm,deskewing,1,1998,LeCun et al. 1998
Virtual SVM deg-9 poly [distortions],svm,none,0.8,1998,LeCun et al. 1998
"Virtual SVM, deg-9 poly, 1-pixel jittered",svm,none,0.68,2002,"DeCoste and Scholkopf, MLJ 2002"
"Virtual SVM, deg-9 poly, 1-pixel jittered",svm,deskewing,0.68,2002,"DeCoste and Scholkopf, MLJ 2002"
"Virtual SVM, deg-9 poly, 2-pixel jittered",svm,deskewing,0.56,2002,"DeCoste and Scholkopf, MLJ 2002"
"2-layer NN, 300 hidden units, mean square error",neural net,none,4.7,1998,LeCun et al. 1998
"2-layer NN, 300 HU, MSE, [distortions]",neural net,none,3.6,1998,LeCun et al. 1998
"2-layer NN, 300 HU",neural net,deskewing,1.6,1998,LeCun et al. 1998
"2-layer NN, 1000 hidden units",neural net,none,4.5,1998,LeCun et al. 1998
"2-layer NN, 1000 HU, [distortions]",neural net,none,3.8,1998,LeCun et al. 1998
"3-layer NN, 300+100 hidden units",neural net,none,3.05,1998,LeCun et al. 1998
